IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|STD_SIGN_NO|SIGN_STRRM_NO|SZ|WD|HT|SQ_FT_NO|COLOR|STD_SIGN_TYP|SIGN_DESC|SIGN_STD_GRPH|SHOW|MMS_NO
SIGN|S|24-MAR-2015|R4-7a-48|R4-7a|36x48|36|48|1728|BLK/SIL|REGLTY|KEEP (ARROW) RIGHT||Y|
SIGN|S|24-MAR-2015|R4-7b|R4-7b|36x48|36|48|1728|SIL/BLK|REGLTY|KEEP (SLANTED ARROW) RIGHT||Y|
SIGN|S|24-MAR-2015|R4-7b-30|405455|24x30|24|30|720|BLK/SIL|REGLTY|KEEP (30° ARROW) RIGHT||Y|5455
SIGN|S|24-MAR-2015|R4-7b-48|405456|36x48|36|48|1728|BLK/SIL|REGLTY|KEEP (30° ARROW) RIGHT||Y|5456
SIGN|S|24-MAR-2015|R4-7b-60|405457|48x60|48|60|2880|BLK/SIL|REGLTY|KEEP (30° ARROW) RIGHT||Y|5457
SIGN|S|24-MAR-2015|R4-8-30|405458|24x30|24|30|720|BLK/SIL|REGLTY|KEEP LEFT (SYMBOL)||Y|5458
SIGN|S|24-MAR-2015|R4-8-48|405462|36x48|36|48|1728|BLK/SIL|REGLTY|KEEP LEFT (SYMBOL)||Y|5462
SIGN|S|24-MAR-2015|R5-10b-18|405488|30x18|30|18|540|BLK/SIL|REGLTY|PEDESTRIANS AND BICYCLES PROHIBITED||Y|5488
SIGN|S|24-MAR-2015|R5-1-36|405481|36x36|36|36|1296|RED/SIL|REGLTY|DO NOT ENTER||Y|5481
SIGN|S|24-MAR-2015|R5-1-48|405482|48x48|48|48|2304|RED/SIL|REGLTY|DO NOT ENTER||Y|5482
SIGN|S|24-MAR-2015|R5-1a-24|405486|36x24|36|24|864|RED/SIL|REGLTY|WRONG WAY||Y|5486
SIGN|S|24-MAR-2015|R5-1a-30|405487|42x30|42|30|1260|RED/SIL|REGLTY|WRONG WAY||Y|5487
SIGN|S|24-MAR-2015|R5-2-24|405483|24x24|24|24|576|BLK/RED/SIL|REGLTY|NO TRUCKS (SYMBOL)||Y|5483
SIGN|S|24-MAR-2015|R5-2-30|R5-2|30x30|30|30|900|BLK/RED/SIL|REGLTY|NO TRUCKS (SYMBOL)||Y|
SIGN|S|24-MAR-2015|R5-2a-30|R5-2a|30x30|30|30|900|BLK/SIL|REGLTY|NO TRUCKS||Y|
SIGN|S|24-MAR-2015|R5-6-24|405485|24x24|24|24|576|BLK/RED/SIL|REGLTY|BICYCLES PROHIBITED (SYMBOL)||Y|5485
SIGN|S|24-MAR-2015|R6-1L-12|405489|36x12|36|12|432|BLK/SIL|REGLTY|ONE WAY ON LEFT ARROW||Y|5489
SIGN|S|24-MAR-2015|R6-1L-18|R6-1L|54x18|54|18|972|BLK/SIL|REGLTY|ONE WAY||Y|
SIGN|S|24-MAR-2015|R6-1R-12|405490|36x12|36|12|432|BLK/SIL|REGLTY|ONE WAY ON RIGHT ARROW||Y|5490
SIGN|S|24-MAR-2015|R6-1R-18|R6-1R|54x18|54|18|972|BLK/SIL|REGLTY|ONE WAY||Y|
SIGN|S|24-MAR-2015|R6-2L-30|405491|24x30|24|30|720|BLK/SIL|REGLTY|ONE WAY W/ LEFT ARROW||Y|5491
SIGN|S|24-MAR-2015|R6-2LT-30|405491|24x30|24|30|720|BLK/SIL|REGLTY|ONE WAY W/ L ARROW||Y|5491
SIGN|S|24-MAR-2015|R6-2R-30|405492|24x30|24|30|720|BLK/SIL|REGLTY|ONE WAY W/ RIGHT ARROW||Y|5492
SIGN|S|24-MAR-2015|R6-2RT-30|405492|24x30|24|30|720|BLK/SIL|REGLTY|ONE WAY W/ R ARROW||Y|5492
SIGN|S|24-MAR-2015|R6-3-18|R6-3|24x18|24|18|432|BLK/SIL|REGLTY|DIVIDED HIGHWAY||Y|
SIGN|S|24-MAR-2015|R6-3a-18|R6-3a|24x18|24|18|432|BLK/SIL|REGLTY|DIVIDED HIGHWAY||Y|
SIGN|S|24-MAR-2015|R7-107-18|R7-107|12x18|12|18|216|RED/SIL|REGLTY|NO PARKING BUS STOP W/ ARROW||Y|
SIGN|S|24-MAR-2015|R7-108-18|R7-108|12x18|12|18|216|GRN/SIL|PRMSV|TIMED PARKING||Y|
SIGN|S|24-MAR-2015|R7-1-18|R7-1|24x30|24|30|720|RED/SIL|REGLTY|NO PARKING ANY TIME||Y|
SIGN|S|24-MAR-2015|R7-1b-18|R7-1B|12x18|12|18|216|RED/SIL|REGLTY|NO PARKING ANY TIME W/ DOUBLE ARROW||Y|
SIGN|S|24-MAR-2015|R7-1L-18|R7-1L|12x18|12|18|216|RED/SIL|REGLTY|NO PARKING ANY TIME W/ LEFT ARROW||Y|
SIGN|S|24-MAR-2015|R7-1R-18|R7-1R|12x18|12|18|216|RED/SIL|REGLTY|NO PARKING ANY TIME W/ RIGHT ARROW||Y|
SIGN|S|24-MAR-2015|R7-201-6|R7-201|12x6|12|6|72|RED/SIL|REGLTY|TOW-AWAY ZONE||Y|
SIGN|S|24-MAR-2015|R7-2-18|R7-2|12x18|12|18|216|RED/SIL|REGLTY|NO PARKING TIMED W/ARROW||Y|
SIGN|S|24-MAR-2015|R7-5-18|R7-5|12x18|12|18|216|GRN/SIL|PRMSV|ONE HOUR PARKING 9AM-7PM W/ DOUBLE ARROW||Y|
SIGN|S|24-MAR-2015|R7-9a-18|R7-9a|12x18|12|18|216|BLK/RED/SIL|REGLTY|BIKE LANE W/ NO PARKING SYMBOL||Y|
SIGN|S|24-MAR-2015|R8-3-24|405493|18x24|18|24|432|RED/SIL|REGLTY|NO PARKING||Y|5493
SIGN|S|24-MAR-2015|R8-3a-24|R8-3a|24x24|24|24|576|BLK/RED/SIL|REGLTY|NO PARKING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|R8-3a-36|R8-3a|36x36|36|36|1296|BLK/RED/SIL|REGLTY|NO PARKING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|R8-4-24|R8-4|30x24|30|24|720|BLK/SIL|REGLTY|EMERGENCY PARKING ONLY||Y|
SIGN|S|24-MAR-2015|R8-4-30|R8-4|36x30|36|30|1080|BLK/SIL|REGLTY|EMERGENCY PARKING ONLY||Y|
SIGN|S|24-MAR-2015|R8-4-36|405494|48x36|48|36|1728|BLK/SIL|REGLTY|EMERGENCY PARKING ONLY||Y|5494
SIGN|S|24-MAR-2015|R8-5-48|R8-5|36x48|36|48|1728|RED/SIL|REGLTY|NO STOPPING ON PAVEMENT||Y|
SIGN|S|24-MAR-2015|R8-6-48|R8-6|36x48|36|48|1728|RED/SIL|REGLTY|NO STOPPING EXCEPT ON SHOULDER||Y|
SIGN|S|24-MAR-2015|R8-7-24|R8-7|30x24|30|24|720|BLK/SIL|REGLTY|EMERGENCY STOPPING ONLY||Y|
SIGN|S|24-MAR-2015|R8-8-30|405508|24x30|24|30|720|BLK/SIL|REGLTY|DO NOT STOP ON TRACKS||Y|5508
SIGN|S|24-MAR-2015|R8-8-48|R8-8|36x48|36|48|1728|BLK/SIL|REGLTY|DO NOT STOP ON TRACKS||Y|
SIGN|S|24-MAR-2015|R9-3a-24|R9-3a|24x24|24|24|576|BLK/SIL|REGLTY|PEDESTRIAN CROSSING PROHIBITED (SYMBOL)||Y|
SIGN|S|24-MAR-2015|R9-4-24|R9-4|18x24|18|24|432|BLK/SIL|REGLTY|NO HITCH HIKING||Y|
SIGN|S|24-MAR-2015|RA-020-18|RA-020|18x18|18|18|324|SIL/GRN|GUIDE|BUS STOP (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RA-080-24|RA-080|24x24|24|24|576|GRN/SIL|PRMSV|PARKING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-010-18|RG-010|18x18|18|18|324|SIL/BRN|REC|AUTOMOBILE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-030-18|RG-030|18x18|18|18|324|SIL/BRN|REC|DAM (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-050-18|RG-050|18x18|18|18|324|SIL/BRN|REC|DRINKING WATER (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-070-18|RG-070|18x18|18|18|324|SIL/BRN|REC|FALLING ROCK (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-090-18|RG-090|18x18|18|18|324|SIL/BRN|REC|FISH HATCHERY (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-100-18|RG-100|18x18|18|18|324|SIL/BRN|REC|INFORMATION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-100-24|RG-100|24x24|24|24|576|SIL/BRN|REC|INFORMATION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-120-18|RG-120|18x18|18|18|324|SIL/BRN|REC|LIGHTHOUSE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-120-24|RG-120|24x24|24|24|576|SIL/BRN|REC|LIGHTHOUSE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-130-18|RG-130|18x18|18|18|324|SIL/BRN|REC|LITTER CONTAINER (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-130-24|RG-130|24x24|24|24|576|SIL/BRN|REC|LITTER CONTAINER (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RG-160-18|RG-160|18x18|18|18|324|SIL/BRN|REC|POINT OF INTEREST (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-040-18|RL-040|18x18|18|18|324|SIL/BRN|REC|HUNTING||Y|
SIGN|S|24-MAR-2015|RL-040-24|RL-040|24x24|24|24|576|SIL/BRN|REC|NUNTING||Y|
SIGN|S|24-MAR-2015|RL-050-18|RL-050|18x18|18|18|324|SIL/BRN|REC|PLAYGROUND (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-060-18|RL-060|18x18|18|18|324|SIL/BRN|REC|ROCK COLLECTING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-090-18|RL-090|18x18|18|18|324|SIL/BRN|REC|BICYCLE TRAIL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-090-24|RL-090|24x24|24|24|576|SIL/BRN|REC|BICYCLE TRAIL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-100-18|RL-100|18x18|18|18|324|SIL/BRN|REC|HIKING TRAIL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-100-24|405129|24x24|24|24|576|SIL/BRN|REC|HIKING TRAIL (SYMBOL)||Y|5129
SIGN|S|24-MAR-2015|RL-110-24|RL-110|24x24|24|24|576|SIL/BRN|REC|HORSE TRAIL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-120-18|RL-120|18x18|18|18|324|SIL/BRN|REC|CARS||Y|
SIGN|S|24-MAR-2015|RL-120-24|RL-120|24x24|24|24|576|SIL/BRN|REC|CARS||Y|
SIGN|S|24-MAR-2015|RL-140-18|RL-140|18x18|18|18|324|SIL/BRN|REC|4-WD VEHICLE TRAIL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-150-18|RL-150|18x18|18|18|324|SIL/BRN|REC|TRAIL BIKE TRAIL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RL-170-18|RL-170|18x18|18|18|324|SIL/BRN|REC|ALL-TERRAIN VEHICLE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-010-18|RM-010|18x18|18|18|324|SIL/BRN|REC|CAMPING TENT (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-010-24|405128|24x24|24|24|576|SIL/BRN|REC|CAMPING TENT (SYMBOL)||Y|5128
SIGN|S|24-MAR-2015|RM-020-18|408226|18x18|18|18|324|SIL/BRN|REC|CAMPING TRAILER (SYMBOL)||Y|8226
SIGN|S|24-MAR-2015|RM-020-24|405133|24x24|24|24|576|SIL/BRN|REC|CAMPING TRAILER (SYMBOL)||Y|5133
SIGN|S|24-MAR-2015|RM-050-18|408232|18x18|18|18|324|SIL/BRN|REC|FOOD (SYMBOL)||Y|8232
SIGN|S|24-MAR-2015|RM-050-24|RM-050|24x24|24|24|576|SIL/BRN|REC|FOOD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-080-18|RM-080|18x18|18|18|324|SIL/BRN|REC|HANDICAPPED ACCESSIBILITY (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-090-18|RM-090|18x18|18|18|324|SIL/BRN|REC|LODGING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-090-24|RM-090|24x24|24|24|576|SIL/BRN|REC|LODGING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-120-18|408244|18x18|18|18|324|SIL/BRN|REC|PICNIC AREA (SYMBOL)||Y|8244
SIGN|S|24-MAR-2015|RM-140-18|408247|18x18|18|18|324|SIL/BRN|REC|REST ROOM (SYMBOL)||Y|8247
SIGN|S|24-MAR-2015|RM-150-18|RM-150|18x18|18|18|324|SIL/BRN|REC|TELEPHONE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-160-18|RM-160|18x18|18|18|324|SIL/BRN|REC|SANITARY STATION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-210-18|RM-210|18x18|18|18|324|SIL/BRN|REC|GROUP CAMPING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RM-220-18|RM-220|18x18|18|18|324|SIL/BRN|REC|GROUP PICNICING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS-040-18|RS-040|18x18|18|18|324|SIL/BRN|REC|CROSS COUNTRY SKIING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS-040-24|408320|24x24|24|24|576|SIL/BRN|REC|CROSS COUNTRY SKIING (SYMBOL)||Y|8320
SIGN|S|24-MAR-2015|RS-050-18|RS-050|18x18|18|18|324|SIL/BRN|REC|DOWNHILL SKIING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS050-18|RS050|18x18|18|18|324|SIL/BRN|REC|DOWNHILL SKIING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS-050-24|RS-050|24x24|24|24|576|SIL/BRN|REC|DOWNHILL SKIING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS050-24|RS050|24x24|24|24|576|SIL/BRN|REC|DOWNHILL SKIING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS-070-18|RS-070|18x18|18|18|324|SIL/BRN|REC|SNOWMOBILE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS-070-24|RS-070|24x24|24|24|576|SIL/BRN|REC|SNOWMOBILE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RS-090-18|RS-090|18x18|18|18|324|SIL/BRN|REC|WINTER RECREATION AREA (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-050-18|RW-050|18x18|18|18|324|SIL/BRN|REC|FISHING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-050-24|408296|24x24|24|24|576|SIL/BRN|REC|FISHING (SYMBOL)||Y|8296
SIGN|S|24-MAR-2015|RW-060-18|RW-060|18x18|18|18|324|SIL/BRN|REC|MARINA (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-060-24|RW-060|24x24|24|24|576|SIL/BRN|REC|MARINA (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-080-18|RW-080|18x18|18|18|324|SIL/BRN|REC|BOAT LAUNCH (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-080-24|405132|24x24|24|24|576|SIL/BRN|REC|BOAT LAUNCH (SYMBOL)||Y|5132
SIGN|S|24-MAR-2015|RW-090-18|RW-090|18x18|18|18|324|SIL/BRN|REC|ROWBOATING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-110-24|RW-110|24x24|24|24|576|SIL/BRN|REC|WATER SKIING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-130-18|RW-130|18x18|18|18|324|SIL/BRN|REC|SWIMMING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|RW-210-18|405077|18x18|18|18|324|SIL/BRN|REC|WIND SURF (SYMBOL)||Y|5077
SIGN|S|24-MAR-2015|S1-1-36|405110|36x36|36|36|1296|BLK/YG|WRN|SCHOOL CROSSING ADVANCE||Y|5110
SIGN|S|24-MAR-2015|S1-1-48|405112|48x48|48|48|2304|BLK/YG|WRN|SCHOOL CROSSING ADVANCE||Y|5112
SIGN|S|24-MAR-2015|S2-1-30|S2-1|30x30|30|30|900|BLK/YG|WRN|SCHOOL CROSSING ADVANCE W/ CROSSWALK LINES||Y|
SIGN|S|24-MAR-2015|S2-1-36|405112|36x36|36|36|1296|BLK/YG|WRN|SCHOOL CROSSING ADVANCE W/ CROSSWALK LINES||Y|5112
SIGN|S|24-MAR-2015|S2-1-48|405113|48x48|48|48|2304|BLK/YG|WRN|SCHOOL CROSSING ADVANCE W/ CROSSWALK LINES||Y|5113
SIGN|S|24-MAR-2015|S3-1-30|405114|30x30|30|30|900|BLK/YLW|WRN|SCHOOL BUS STOP AHEAD||Y|5114
SIGN|S|24-MAR-2015|S3-1-36|405117|36x36|36|36|1296|BLK/YLW|WRN|SCHOOL BUS STOP AHEAD||Y|5117
SIGN|S|24-MAR-2015|S4-2-18|S4-2|36x18|36|18|648|BLK/SIL|REGLTY|WHEN CHILDREN ARE PRESENT||Y|
SIGN|S|24-MAR-2015|S4-3-12|S4-3|36x12|36|12|432|BLK/YG|WRN|SCHOOL||Y|
SIGN|S|24-MAR-2015|S4-3-18|S4-3|36x18|36|12|432|BLK/YG|WRN|SCHOOL||Y|
SIGN|S|24-MAR-2015|S4-3P-12|9900|36x12|36|12|432|BLK/YG|WRN|SCHOOL||Y|
SIGN|S|24-MAR-2015|S4-3P-8|9900|24x8|24|8|192|BLK/YG|WRN|SCHOOL||Y|
SIGN|S|24-MAR-2015|S4-4-18|S4-4|36x18|36|18|648|BLK/SIL|REGLTY|WHEN FLASHING||Y|
SIGN|S|24-MAR-2015|S4-5-36|9900|36x36|36|36|1296|BLK/SIL/YG|WRN|REDUCED SCHOOL SPEED LIMIT AHEAD||Y|
SIGN|S|24-MAR-2015|S4-5-48|9900|48x48|48|48|2304|BLK/SIL/YG|WRN|REDUCED SCHOOL SPEED LIMIT AHEAD||Y|
SIGN|S|24-MAR-2015|S5-1-78|S5-1|36x78|36|78|2808|BLK/SIL/YG|REGLTY|SCHOOL SPEED LIMIT 20 WHEN FLASHING||Y|
SIGN|S|24-MAR-2015|S5-1m-78|S5-1m|36x78|36|78|2808|BLK/SIL/YG|REGLTY|SCHOOL SPEED LIMIT 30 KM/H WHEN FLASHING||Y|
SIGN|S|24-MAR-2015|S5-2-30|9900|24x30|24|30|720|BLK/SIL|REGLTY|END SCHOOL ZONE||Y|
SIGN|S|24-MAR-2015|S5-2-48|9900|36x48|36|48|1728|BLK/SIL|REGLTY|END SCHOOL ZONE||Y|
SIGN|S|24-MAR-2015|S5-3-30|S5-3|24x30|24|30|720|BLK/SIL|REGLTY|END SCHOOL SPEED LIMIT||Y|
SIGN|S|24-MAR-2015|S5-3-48|S5-3|36X48|36|48|1728|BLK/SIL|REGLTY|END SCHOOL SPEED LIMIT||Y|
SIGN|S|24-MAR-2015|W10-1-30|W10-1|30x30|30|30|900|BLK/YLW|WRN|RR CROSSING ADVANCE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-1-36|405667|36"DIAM|36|36|1296|BLK/YLW|WRN|RR CROSSING ADVANCE (SYMBOL)||Y|5667
SIGN|S|24-MAR-2015|W10-2-36|W10-2|36x36|36|36|1296|BLK/YLW|WRN|HIGHWAY-RAIL GRADE CROSSING ADVANCE WARNING CROSS ROAD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-2-48|W10-2|48x48|48|48|2304|BLK/YLW|WRN|HIGHWAY-RAIL GRADE CROSSING ADVANCE WARNING CROSS ROAD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-3-36|W10-3|36x36|36|36|1296|BLK/YLW|WRN|HIGHWAY-RAIL GRADE CROSSING ADVANCE WARNING SIDE ROAD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-3-48|W10-3|48x48|48|48|2304|BLK/YLW|WRN|HIGHWAY-RAIL GRADE CROSSING ADVANCE WARNING SIDE ROAD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-4L-36|W10-4L|36x36|36|36|1296|BLK/YLW|WRN|HIGHWAY-RAIL GRADE CROSSING ADVANCE WARNING T-INTERSECTION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-4R-36|W10-4R|36x36|36|36|1296|BLK/YLW|WRN|HIGHWAY-RAIL GRADE CROSSING ADVANCE WARNING T-INTERSECTION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W10-9-18|W10-9|24x18|24|18|432|BLK/YLW|WRN|NO TRAIN HORN||Y|
SIGN|S|24-MAR-2015|W1-10L-36|W1-10L|36x36|36|36|1296|BLK/YLW|WRN|CURVE LEFT W/ SIDE ROAD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W1-10R-36|W1-10R|36x36|36|36|1296|BLK/YLW|WRN|CURVE RIGHT W/ SIDE ROAD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-10-30|W11-10|30x30|30|30|900|BLK/YLW|WRN|TRUCK (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-1-30|405668|30x30|30|30|900|BLK/YLW|WRN|BICYCLE (SYMBOL)||Y|5668
SIGN|S|24-MAR-2015|W1-11-36|W1-11|36x36|36|36|1296|BLK/YLW|WRN|HAIRPIN CURVE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-1-36|W11-1|36x36|36|36|1296|BLK/YLW|WRN|BICYCLE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W1-11-48|W1-11|48x48|48|48|2304|BLK/YLW|WRN|HAIRPIN CURVE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-1-48|W11-1|48x48|48|48|2304|BLK/YLW|WRN|BICYCLE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-15-36|W11-15|36x36|36|36|1296|BLK/YG|WRN|BICYCLE/PEDESTRIAN (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-18-36|W11-18|36x36|36|36|1296|BLK/YLW|WRN|BIGHORN SHEEP||Y|
SIGN|S|24-MAR-2015|W1-11L-48|W1-11|48X48|48|48|2304|BLK/YLW|WRN|HAIRPIN CURVE LEFT (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W1-11R-48|W1-11|48X48|48|48|2304|BLK/YLW|WRN|HAIRPIN CURVE RIGHT (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-20-36|W11-20|36x36|36|36|1296|BLK/YLW|WRN|ELK (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-20-48|W11-20|48X48|48|48|2304|BLK/YLW|WRN|ELK (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-2-30|405679|30x30|30|30|900|BLK/YLW|WRN|PEDESTRIAN (SYMBOL)||Y|5679
SIGN|S|24-MAR-2015|W11-2-36|405672|36x36|36|36|1296|BLK/YLW|WRN|PEDESTRIAN (SYMBOL)||Y|5672
SIGN|S|24-MAR-2015|W11-2-48|405686|48x48|48|48|2304|BLK/YLW|WRN|PEDESTRIAN (SYMBOL)||Y|5686
SIGN|S|24-MAR-2015|W11-2a-30|405670|30x30|30|30|900|BLK/YLW|WRN|PEDESTRIAN W/ CROSSWALK (SYMBOL)||Y|5670
SIGN|S|24-MAR-2015|W11-2a-36|405671|36x36|36|36|1296|BLK/YLW|WRN|PEDESTRIAN W/ CROSSWALK (SYMBOL)||Y|5671
SIGN|S|24-MAR-2015|W11-2a-48|W11-2a|48x48|48|48|2304|BLK/YLW|WRN|PEDESTRIAN W/ CROSSWALK (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-2b-48|405673|48x48|48|48|2304|BLK/YLW|WRN|PEDESTRIAN (SYMBOL) 2-SIDED||Y|5673
SIGN|S|24-MAR-2015|W1-13-30|W1-13|30x30|30|30|900|BLK/YLW|WRN|TRUCK TIPPING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-3-30|405674|30x30|30|30|900|BLK/YLW|WRN|DEER (SYMBOL)||Y|5674
SIGN|S|24-MAR-2015|W11-3-36|405675|36x36|36|36|1296|BLK/YLW|WRN|DEER (SYMBOL)||Y|5675
SIGN|S|24-MAR-2015|W11-3-48|405676|48x48|48|48|2304|BLK/YLW|WRN|DEER (SYMBOL)||Y|5676
SIGN|S|24-MAR-2015|W1-1-36|W1-1|36x36|36|36|1296|BLK/YLW|WRN|TURN (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-4-30|405677|30x30|30|30|900|BLK/YLW|WRN|CATTLE (SYMBOL)||Y|5677
SIGN|S|24-MAR-2015|W11-4-36|405678|36x36|36|36|1296|BLK/YLW|WRN|CATTLE (SYMBOL)||Y|5678
SIGN|S|24-MAR-2015|W1-15-36|W1-15|36x36|36|36|1296|BLK/YLW|WRN|CURVE WARNING 270° LOOP (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-5-36|W11-5|36x36|36|36|1296|BLK/YLW|WRN|FARM MACHINERY (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-5-48|W11-5|48x48|48|48|2304|BLK/YLW|WRN|FARM MACHINERY (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-6-36|W11-6|36x36|36|36|1296|BLK/YLW|WRN|SNOWMOBILE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-7-36|W11-7|36x36|36|36|1296|BLK/YLW|WRN|EQUESTRIAN (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-8-30|W11-8|30x30|30|30|900|BLK/YLW|WRN|FIRE STATION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|W11-8-36|405749|36x36|36|36|1296|BLK/YLW|WRN|FIRE STATION (SYMBOL)||Y|5749
SIGN|S|24-MAR-2015|W1-1aL-36|W1-1aL|36x36|36|36|1296|BLK/YLW|WRN|TURN ARROW LEFT (SYMBOL) W/ SPEED||Y|
SIGN|S|24-MAR-2015|W1-1aL-48|W1-1aL|48x48|48|48|2304|BLK/YLW|WRN|TURN ARROW LEFT (SYMBOL) W/ SPEED||Y|
SIGN|S|24-MAR-2015|W1-1aR-36|W1-1aR|36x36|36|36|1296|BLK/YLW|WRN|TURN ARROW RIGHT (SYMBOL) W/ SPEED||Y|
SIGN|S|24-MAR-2015|W1-1aR-48|W1-1aR|48x48|48|48|2304|BLK/YLW|WRN|TURN ARROW RIGHT (SYMBOL) W/ SPEED||Y|
SIGN|S|24-MAR-2015|W1-1L-30|405550|30x30|30|30|900|BLK/YLW|WRN|TURN ARROW LEFT (SYMBOL)||Y|5550
SIGN|S|24-MAR-2015|W1-1L-36|405549|36x36|36|36|1296|BLK/YLW|WRN|TURN ARROW LEFT (SYMBOL)||Y|5549
SIGN|S|24-MAR-2015|W1-1L-48|405551|48x48|48|48|2304|BLK/YLW|WRN|TURN ARROW LEFT (SYMBOL)||Y|5551
SIGN|S|24-MAR-2015|W1-1R-30|405552|30x30|30|30|900|BLK/YLW|WRN|TURN ARROW RIGHT (SYMBOL)||Y|5552
SIGN|S|24-MAR-2015|W1-1R-36|405548|36x36|36|36|1296|BLK/YLW|WRN|TURN ARROW RIGHT (SYMBOL)||Y|5548
SIGN|S|24-MAR-2015|W1-1R-48|405553|48x48|48|48|2304|BLK/YLW|WRN|TURN ARROW RIGHT (SYMBOL)||Y|5553
SIGN|S|24-MAR-2015|W12-2-36|W12-2|36x36|36|36|1296|BLK/YLW|WRN|LOW CLEARANCE (SYMBOL) WITH HEIGHT||Y|
