IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|STD_SIGN_NO|SIGN_STRRM_NO|SZ|WD|HT|SQ_FT_NO|COLOR|STD_SIGN_TYP|SIGN_DESC|SIGN_STD_GRPH|SHOW|MMS_NO
SIGN|S|24-MAR-2015|OW22-6-36|OW22-6|66x30|66|30|1980|BLK/YLW|WRN|CHAIN REMOVAL AREA W/ R ARROW||Y|
SIGN|S|24-MAR-2015|OW22-7-42|OW22-7|96X42|96|42|4032|BLK/YLW|WRN|TRAVEL ADVISORY TUNE RADIO 1XXX AM WHEN LIGHTS FLASH||Y|
SIGN|S|24-MAR-2015|OW22-7-54|OW22-7|132X54|132|54|7128|BLK/YLW|WRN|TRAVEL ADVISORY TUNE RADIO 1XXX AM WHEN LIGHTS FLASH||Y|
SIGN|S|24-MAR-2015|OW22-7-66|OW22-7|162x66|162|66|10692|BLK/YLW|WRN|TRAVEL ADVISORY TUNE RADIO 1XXX AM WHEN LIGHTS FLASH||Y|
SIGN|S|24-MAR-2015|OW3-5-36|405036|36x36|36|36|1296|BLK/SIL/YLW|WRN|SPEED REDUCTION ADVANCE WARNING (SYMBOL)||Y|5036
SIGN|S|24-MAR-2015|OW3-5-36-40|OW3-5|36x36|36|36|1296|BLK/SIL/YLW|WRN|SPEED REDUCTION 40 ADVANCE WARNING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|OW3-5-36-50|OW3-5|36x36|36|36|1296|BLK/SIL/YLW|WRN|SPEED REDUCTION 50 ADVANCE WARNING (SYMBOL)||Y|
SIGN|S|24-MAR-2015|OW3-5-48|405037|48x48|48|48|2304|BLK/SIL/YLW|WRN|SPEED REDUCTION ADVANCE WARNING (SYMBOL)||Y|5037
SIGN|S|24-MAR-2015|OW6-6-36|405623|36x36|36|36|1296|BLK/YLW|WRN|TRAFFIC SEPARATOR (SYMBOL)||Y|5623
SIGN|S|24-MAR-2015|OW6-6-48|405622|48x48|48|48|2304|BLK/YLW|WRN|TRAFFIC SEPARATOR (SYMBOL)||Y|5622
SIGN|S|24-MAR-2015|OW7-3a-24|OW7-3a|24x24|24|24|576|BLK/YLW|WRN|NEXT X MILES||Y|
