IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|GRAPH_ID|GRAPH_PATH|GRAPH_NM|GRAPH_DESC
SNGR|S|24-MAR-2015|50|C:\USR\R2SIGN\SYM\D8-3.PNG|D8-3|WEIGH STATION
SNGR|S|24-MAR-2015|51|C:\USR\R2SIGN\SYM\D8-2.PNG|D8-2|WEIGH STATION
SNGR|S|24-MAR-2015|52|C:\USR\R2SIGN\SYM\D9-1.PNG|D9-1|TELEPHONE
SNGR|S|24-MAR-2015|53|C:\USR\R2SIGN\SYM\D9-10.PNG|D9-10|TOURIST INFORMATION
SNGR|S|24-MAR-2015|54|C:\USR\R2SIGN\SYM\D9-11.PNG|D9-11|DIESEL FUEL
SNGR|S|24-MAR-2015|55|C:\USR\R2SIGN\SYM\D9-12.PNG|D9-12|TRAILER SANITARY STATION
SNGR|S|24-MAR-2015|56|C:\USR\R2SIGN\SYM\D9-13.PNG|D9-13|EMERGENCY MEDICAL SERVICES
SNGR|S|24-MAR-2015|57|C:\USR\R2SIGN\SYM\D9-14.PNG|D9-14|POLICE
SNGR|S|24-MAR-2015|58|C:\USR\R2SIGN\SYM\D9-15.PNG|D9-15|LIQUID PROPANE
SNGR|S|24-MAR-2015|59|C:\USR\R2SIGN\SYM\D9-2.PNG|D9-2|HOSPITAL
SNGR|S|24-MAR-2015|60|C:\USR\R2SIGN\SYM\D9-3.PNG|D9-3|CAMPING TENT
SNGR|S|24-MAR-2015|61|C:\USR\R2SIGN\SYM\D9-3A.PNG|D9-3A|CAMPING TRAILER
SNGR|S|24-MAR-2015|62|C:\USR\R2SIGN\SYM\D9-4.PNG|D9-4|LITTER BARREL
SNGR|S|24-MAR-2015|63|C:\USR\R2SIGN\SYM\D9-6.PNG|D9-6|HANDICAPPED ACCESS
SNGR|S|24-MAR-2015|64|C:\USR\R2SIGN\SYM\D9-7.PNG|D9-7|FUEL
SNGR|S|24-MAR-2015|65|C:\USR\R2SIGN\SYM\D9-8.PNG|D9-8|FOOD
SNGR|S|24-MAR-2015|66|C:\USR\R2SIGN\SYM\D9-9.PNG|D9-9|LODGING
