IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|SUPP_TYP|SUPP_DESC
SUPP|S|24-MAR-2015|TBB 4 IN X4 IN X3/16 IN |TRIANGULAR BASE BREAKAWAY 4 IN X4 IN X3/16 IN 
SUPP|S|24-MAR-2015|TBB 5 IN X5 IN X3/16 IN |TRIANGULAR BASE BREAKAWAY 5 IN X5 IN X3/16 IN 
SUPP|S|24-MAR-2015|TBB 6 IN X6 IN X3/16 IN |TRIANGULAR BASE BREAKAWAY 6 IN X6 IN X3/16 IN 
SUPP|S|24-MAR-2015|TBB 7 IN X7 IN X3/16 IN |TRIANGULAR BASE BREAKAWAY 7 IN X7 IN X3/16 IN 
SUPP|S|24-MAR-2015|TBB 8 IN X8 IN X3/16 IN |TRIANGULAR BASE BREAKAWAY 8 IN X8 IN X3/16 IN 
SUPP|S|24-MAR-2015|TUBE EXTENSION|TUBE EXTENSION
SUPP|S|24-MAR-2015|WOOD (UNSPECIFIED SIZE)|WOOD (UNSPECIFIED SIZE)
SUPP|S|24-MAR-2015|WOOD 4 IN X4 IN X12F|WOOD 4 IN X4 IN X12F
SUPP|S|24-MAR-2015|WOOD 4 IN X4 IN X14F|WOOD 4 IN X4 IN X14F
SUPP|S|24-MAR-2015|WOOD 4 IN X4 IN X16F|WOOD 4 IN X4 IN X16F
SUPP|S|24-MAR-2015|WOOD 4 IN X4 IN X18F|WOOD 4 IN X4 IN X18F
SUPP|S|24-MAR-2015|WOOD 4 IN X6 IN X14F|WOOD 4 IN X6 IN X14F
SUPP|S|24-MAR-2015|WOOD 4 IN X6 IN X16F|WOOD 4 IN X6 IN X16F
SUPP|S|24-MAR-2015|WOOD 4 IN X6 IN X18F|WOOD 4 IN X6 IN X18F
SUPP|S|24-MAR-2015|WOOD 4 IN X6 IN X20F|WOOD 4 IN X6 IN X20F
SUPP|S|24-MAR-2015|WOOD 4 IN X6 IN X22F|WOOD 4 IN X6 IN X22F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X14F|WOOD 6 IN X6 IN X14F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X16F|WOOD 6 IN X6 IN X16F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X18F|WOOD 6 IN X6 IN X18F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X20F|WOOD 6 IN X6 IN X20F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X22F|WOOD 6 IN X6 IN X22F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X24F|WOOD 6 IN X6 IN X24F
SUPP|S|24-MAR-2015|WOOD 6 IN X6 IN X26F|WOOD 6 IN X6 IN X26F
SUPP|S|24-MAR-2015|WOOD 6 IN X8 IN X16F|WOOD 6 IN X8 IN X16F
SUPP|S|24-MAR-2015|WOOD 6 IN X8 IN X18F|WOOD 6 IN X8 IN X18F
SUPP|S|24-MAR-2015|WOOD 6 IN X8 IN X20F|WOOD 6 IN X8 IN X20F
SUPP|S|24-MAR-2015|WOOD 6 IN X8 IN X22F|WOOD 6 IN X8 IN X22F
SUPP|S|24-MAR-2015|WOOD 6 IN X8 IN X24F|WOOD 6 IN X8 IN X24F
SUPP|S|24-MAR-2015|WOOD 6 IN X8 IN X26F|WOOD 6 IN X8 IN X26F
